source,target,edge,edge_display,count,frequency
hydration_level,avg_heart_rate,hydration_level -> avg_heart_rate,hydration level -> average heart rate,1,0.01
intensity,fitness_level,intensity -> fitness_level,intensity -> fitness level,1,0.01
age,smoking_status,age -> smoking_status,age -> smoking status,1,0.01
smoking_status,blood_pressure_systolic,smoking_status -> blood_pressure_systolic,smoking status -> systolic blood pressure,1,0.01
blood_pressure_diastolic,blood_pressure_systolic,blood_pressure_diastolic -> blood_pressure_systolic,diastolic blood pressure -> systolic blood pressure,1,0.01
hydration_level,activity_type,hydration_level -> activity_type,hydration level -> activity type,1,0.01
bmi,fitness_level,bmi -> fitness_level,BMI -> fitness level,1,0.01
smoking_status,duration_minutes,smoking_status -> duration_minutes,smoking status -> exercise duration,1,0.01
blood_pressure_diastolic,bmi,blood_pressure_diastolic -> bmi,diastolic blood pressure -> BMI,1,0.01
daily_steps,blood_pressure_systolic,daily_steps -> blood_pressure_systolic,daily steps -> systolic blood pressure,1,0.01
smoking_status,bmi,smoking_status -> bmi,smoking status -> BMI,1,0.01
duration_minutes,intensity,duration_minutes -> intensity,exercise duration -> intensity,1,0.01
blood_pressure_systolic,hours_sleep,blood_pressure_systolic -> hours_sleep,systolic blood pressure -> hours of sleep,1,0.01
avg_heart_rate,blood_pressure_diastolic,avg_heart_rate -> blood_pressure_diastolic,average heart rate -> diastolic blood pressure,1,0.01
avg_heart_rate,hours_sleep,avg_heart_rate -> hours_sleep,average heart rate -> hours of sleep,1,0.01
hydration_level,daily_steps,hydration_level -> daily_steps,hydration level -> daily steps,1,0.01
